!03511426-n	heelless	0.0	[0]
00027384-r	but	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00027384-r	yet	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00027384-r	however	0.0	[0, 0, 0, 0, 0]
00027795-r	yet	0.0	[0, 0, 0, 0, 0]
00027918-r	as yet	0.0	[0]
00028424-r	however	0.0	[0]
00028565-v	smile	64.0	[64.0, 64.0, 64.0, 64.0]
00028578-r	however	0.0	[0]
00028797-r	however	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0]
00029037-r	besides	0.0	[0]
00029378-n	event	0.0	[0, 0, 0, 0, 0, 0]
00031304-r	still	0.0	[0, 0, 0, 0, 0]
00031515-r	no longer	0.0	[0]
00031663-v	chuckle	34.0	[34.0, 34.0]
00031798-r	already	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00031820-v	laugh	32.0	[64.0, 0]
00031899-r	very	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00031899-r	really	0.0	[0, 0, 0]
00033308-r	just	0.0	[0, 0, 0, 0, 0]
00033406-v	stare	0.0	[0]
00033421-r	instantly	0.0	[0]
00033663-r	a little	0.0	[0, 0, 0, 0, 0]
00033922-r	soon	8.5	[0, 0, 34.0, 0]
00034189-r	shortly	0.0	[0]
00035385-r	seldom	-17.0	[-34.0, 0]
00035718-r	somewhat	0.0	[0]
00037396-n	action	0.0	[0, 0]
00037470-r	indeed	0.0	[0, 0, 0]
00037641-r	indeed	0.0	[0, 0, 0, 0, 0, 0]
00037641-r	so	0.0	[0]
00038013-r	in truth	34.0	[34.0]
00038262-n	course	0.0	[0]
00038262-n	course of action	0.0	[0]
00038625-r	of course	6.8	[0, 34.0, 0, 0, 0]
00039058-r	clearly	0.0	[0.0, 0]
00039318-r	evidently	0.0	[0.0, 0.0, 0]
00039318-r	obviously	0.0	[0.0, 0]
00040365-r	again	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00040365-r	once more	0.0	[0, 0, 0, 0]
00040882-r	out of the way	0.0	[0]
00041570-r	in the way	0.0	[0]
00042769-r	alas	-34.0	[-34.0]
00043003-r	therefore	0.0	[0, 0, 0, 0, 0]
00043003-r	so	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00043195-n	find	0.0	[0, 0]
00043195-n	discovery	34.0	[34.0]
00046534-v	dress	0.0	[0, 0]
00046639-r	deadly	-79.5	[-95.0, -64.0]
00047392-r	too	0.0	[0, 0, 0, 0, 0, 0, 0, 0]
00047534-r	too	0.0	[0, 0, 0]
00047534-r	also	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00047534-r	as well	0.0	[0, 0]
00047903-r	at last	0.0	[0, 0, 0, 0, 0, 0, 0]
00047903-r	finally	-17.0	[-34.0, 0]
00048138-r	eventually	0.0	[0]
00048138-r	finally	-34.0	[-34.0]
00048739-r	now	0.0	[0, 0]
00048739-r	at once	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0]
00048739-r	immediately	0.0	[0]
00048739-r	instantly	0.0	[0, 0, 0]
00048828-n	coming	0.0	[0]
00049102-r	now	0.0	[0, 0, 0, 0, 0, 0, 0, 0]
00049220-r	now	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00049220-r	come	0.0	[0]
00049220-r	at present	0.0	[0]
00049758-r	now	0.0	[0, 0, 0, 0, 0]
00050681-r	no	0.0	[0, 0, 0]
00051192-n	return	0.0	[0, 0]
00051370-v	slip off	0.0	[0]
00052374-v	wear	0.0	[0]
00053274-r	swiftly	27.2	[0, 34.0, 34.0, 34.0, 34.0]
00054327-r	for the moment	0.0	[0]
00056340-r	dreadfully	-64.0	[-64.0]
00056729-r	at all	0.0	[0]
00057042-r	by no means	0.0	[0, 0]
00057257-r	thoroughly	34.0	[34.0]
00058359-r	indirectly	0.0	[0, 0]
00059086-r	much	0.0	[0, 0]
00059171-r	very much	0.0	[0, 0, 0, 0]
00059607-r	better	49.0	[34.0, 64.0]
00060939-r	before	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00061203-r	afterwards	0.0	[0, 0, 0, 0, 0]
00061203-r	after	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00061203-r	later	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0]
00061528-r	suddenly	-11.333333333333334	[0, -34.0, 0]
00061677-r	suddenly	-15.11111111111111	[0, 0, 0, -34.0, -34.0, -34.0, -34.0, 0, 0]
00061885-a	cunning	28.0	[28.0]
00065294-r	twice	0.0	[0, 0]
00065639-v	have	0.0	[0, 0]
00065822-r	finally	0.0	[0]
00066781-r	before	0.0	[0, 0, 0]
00066781-r	in front	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0]
00067265-r	forward	12.0	[0, 24.0]
00067638-a	well	17.0	[0, 34.0]
00069164-r	along	0.0	[0]
00069901-r	loudly	0.0	[0]
00069901-r	loud	0.0	[0.0, 0.0, 0]
00070166-r	quietly	0.0	[0, 0]
00071456-r	round	0.0	[0]
00071741-r	round	0.0	[0, 0]
00071840-r	about	0.0	[0]
00071840-r	round	0.0	[0, 0]
00073033-r	almost	0.0	[0, 0, 0, 0]
00073033-r	nearly	0.0	[0, 0, 0]
00073033-r	about	0.0	[0, 0, 0]
00074095-r	ago	0.0	[0, 0, 0]
00074641-r	forward	0.0	[0, 0, 0]
00075161-r	back	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00075367-r	back	0.0	[0]
00076193-r	to and fro	0.0	[0]
00076193-r	backward and forward	0.0	[0]
00076512-r	up and down	0.0	[0, 0, 0]
00077419-n	acquirement	34.0	[34.0]
00077698-v	choke	-34.0	[-34.0]
00079107-r	undoubtedly	0.0	[0.0, 0.0]
00079499-r	to-night	0.0	[0, 0, 0]
00079786-a	horror-stricken	-95.0	[-95.0]
00080039-r	beneath	0.0	[0]
00080169-r	above	0.0	[0, 0]
00080357-a	terrified	-95.0	[-95.0, -95.0]
00081591-r	every week	0.0	[0]
00084223-r	especially	0.0	[0, 0]
00085811-r	rapidly	20.4	[0, 34.0, 0, 34.0, 34.0]
00085811-r	speedily	34.0	[34.0]
00088931-r	continually	0.0	[0]
00090186-v	shock	-64.0	[-64.0]
00091764-a	open-eyed	34.0	[34.0]
00091964-r	firmly	34.0	[34.0]
00092569-r	tightly	-34.0	[-34.0]
00095280-a	dead	-77.42857142857143	[-95.0, -34.0, -64.0, -64.0, -95.0, -95.0, -95.0]
00095320-r	down	0.0	[0, 0, 0, 0]
00095612-r	down	0.0	[0, 0]
00095873-a	deceased	-34.0	[-34.0]
00096333-r	up	0.0	[0]
00096333-r	upward	0.0	[0]
00098714-r	rather	0.0	[0, 0, 0]
00098714-r	instead	0.0	[0]
00099341-r	more	0.0	[0, 0, 0, 0, 0, 0, 0]
00099712-r	more	0.0	[0, 0, 0, 0]
00100082-r	early	0.0	[0, 0]
00100267-r	late	0.0	[0]
00103194-r	at first	0.0	[0]
00103554-r	first	0.0	[0, 0]
00103619-v	blanch	-64.0	[-64.0]
00104661-r	at any rate	0.0	[0]
00104661-r	at least	0.0	[0, 0, 0, 0]
00104661-r	at less	0.0	[0]
00106020-a	good	34.0	[34.0]
00107416-r	lately	0.0	[0]
00108773-r	here	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00109151-r	there	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00109461-r	there	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00109660-v	change	0.0	[0]
00110659-r	outside	0.0	[0]
00110815-r	inside	0.0	[0, 0, 0]
00110815-r	within	0.0	[0]
00111609-r	most	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0]
00111758-r	least	0.0	[0]
00112009-r	most	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00112090-r	silently	-34.0	[-34.0]
00115500-n	tug	0.0	[0]
00116376-n	raise	0.0	[0]
00116994-r	together	0.0	[0, 0]
00117620-r	and then	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00117620-r	then	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00117620-r	so	0.0	[0, 0]
00117620-r	and so	0.0	[0, 0]
00117985-v	rest	0.0	[0]
00118032-r	then	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00118363-r	so	0.0	[0, 0, 0]
00118363-r	so as	0.0	[0]
00118869-r	once	0.0	[0, 0, 0, 0, 0]
00118965-r	at one time	0.0	[0]
00118965-r	once	0.0	[0]
00120202-n	spring	0.0	[0.0]
00120796-v	get	0.0	[0, 0]
00121135-r	so	0.0	[0, 0, 0, 0, 0, 0, 0, 0]
00125436-n	pat	34.0	[34.0]
00125841-v	grow	17.0	[34.0, 0]
00127948-a	next	0.0	[0, 0, 0, 0]
00138410-r	in the first place	0.0	[0]
00138611-r	probably	0.0	[0.0, 0.0, 0.0, 0.0]
00141632-v	tie	-34.0	[-34.0, -34.0]
00142191-v	form	0.0	[0]
00143914-v	twisted	0.0	[0]
00144722-r	certainly	9.272727272727273	[0, 0, 34.0, 34.0, 34.0, 0, 0, 0, 0, 0, 0]
00145713-r	enough	0.0	[0, 0, 0, 0, 0, 0]
00146387-r	ever	0.0	[0, 0, 0, 0, 0, 0]
00146594-r	so	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00146763-r	so	0.0	[0, 0, 0, 0, 0, 0]
00146926-r	so	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00147126-r	so	0.0	[0]
00147272-r	so	0.0	[0]
00147815-v	fall	-34.0	[-34.0, -34.0]
00147876-r	easily	34.0	[34.0, 34.0]
00148078-a	cunning	-64.0	[-64.0]
00149120-a	deep	0.0	[0, 0.0, 0, 0]
00149510-r	actually	0.0	[0, 0]
00149583-v	go	0.0	[0, 0, 0]
00149583-v	become	0.0	[0, 0]
00150134-r	no doubt	-22.666666666666668	[-34.0, -34.0, 0, -34.0, 0, -34.0]
00150287-v	adapt	0.0	[0]
00151149-r	after all	0.0	[0]
00153568-r	carefully	25.5	[34.0, 34.0, 34.0, 0]
00153961-n	proof	34.0	[34.0]
00155488-r	later	0.0	[0, 0, 0]
00156222-r	by the way	0.0	[0]
00157462-v	gather	0.0	[0]
00157967-r	alone	0.0	[0.0, 0.0]
00158309-r	precisely	34.0	[34.0]
00158309-r	just	0.0	[0, 0, 0, 0, 0]
00159040-r	such as	0.0	[0]
00159040-r	for example	0.0	[0, 0]
00159373-r	for anything	0.0	[0, 0]
00160659-r	closely	0.0	[0]
00160834-r	comparatively	0.0	[0]
00161630-r	slowly	0.0	[0.0, 0, 0.0, 0, 0.0]
00162632-n	conclusion	0.0	[0]
00164751-r	in case	0.0	[0, 0]
00166025-r	long	-6.8	[-34.0, 0, 0, 0, 0]
00166512-r	in practice	0.0	[0]
00167575-r	just in time	0.0	[0]
00167816-r	in time	0.0	[0, 0, 0, 0]
00167920-r	in vain	-34.0	[-34.0, -34.0]
00172710-n	way	0.0	[0]
00173338-v	take	0.0	[0, 0]
00173353-r	deeply	0.0	[0.0, 0.0]
00173764-a	audible	34.0	[34.0]
00174412-n	step	0.0	[0]
00176383-r	heavily	-34.0	[-34.0, -34.0, -34.0]
00181342-r	once	0.0	[0, 0, 0, 0, 0]
00182316-r	splendidly	95.0	[95.0]
00183716-r	blandly	-34.0	[-34.0]
00186616-a	awake	0.0	[0]
00186925-a	up	0.0	[0]
00188137-r	best	64.0	[64.0]
00189017-a	sleepy	-34.0	[-34.0]
00190115-a	aware	34.0	[34.0, 34.0, 34.0, 34.0]
00193480-a	horrible	-95.0	[-95.0, -95.0, -95.0, -95.0]
00193486-v	combine	0.0	[0]
00193799-a	terrible	-71.25	[-95.0, -95.0, -95.0, 0]
00194357-a	sinister	-64.0	[-64.0]
00196364-v	burn	-34.0	[-34.0]
00197151-a	soothing	64.0	[64.0, 64.0]
00197182-r	o'clock	0.0	[0, 0, 0, 0, 0]
00199067-v	lighten	34.0	[34.0]
00200777-r	eagerly	34.0	[34.0]
00201195-r	savagely	-95.0	[-95.0]
00201570-r	wisely	64.0	[64.0]
00202284-n	opposition	-34.0	[-34.0]
00205052-r	right	0.0	[0, 0]
00206144-r	in darkness	-11.333333333333334	[0, -34.0, 0]
00206479-r	hastily	-34.0	[-34.0]
00207366-r	to-day	0.0	[0, 0, 0]
00210651-r	freely	64.0	[64.0, 64.0]
00211815-r	dimly	-34.0	[-34.0]
00212604-r	ever	0.0	[0]
00219325-r	cheerily	64.0	[64.0]
00219855-r	heartily	64.0	[64.0]
00219855-r	warmly	49.0	[64.0, 34.0]
00221429-r	narrowly	34.0	[34.0]
00221934-a	hideous	-64.0	[-64.0]
00221934-a	distorted	-64.0	[-64.0]
00224280-r	furiously	-95.0	[-95.0]
00224418-r	furiously	-64.0	[-64.0]
00224602-r	up and down	0.0	[0, 0]
00225832-v	cripple	-34.0	[-34.0]
00226758-r	over	0.0	[0, 0, 0, 0]
00227165-v	intensify	0.0	[0]
00228294-a	first	34.0	[34.0, 34.0]
00229399-r	quietly	15.0	[15.0]
00232499-r	cruelly	-95.0	[-95.0]
00232936-r	forth	34.0	[34.0]
00232936-r	away	0.0	[0, 0, 0, 0, 0]
00234553-r	away	0.0	[0]
00235110-v	carry	0.0	[0]
00235254-r	away	0.0	[0, 0]
00240707-r	in this	0.0	[0]
00240707-r	in that	0.0	[0]
00240707-r	well	0.0	[0]
00245059-v	die away	-34.0	[-34.0]
00245112-a	brown	0.0	[0]
00250898-r	between	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00257418-r	in a low voice	0.0	[0]
00260648-v	repair	34.0	[34.0]
00262792-a	brave	64.0	[64.0]
00266806-n	repair	32.0	[34.0, 30.0]
00267855-v	turn down	0.0	[0]
00272844-r	across	0.0	[0, 0, 0, 0]
00272951-r	across	0.0	[0, 0, 0]
00273082-a	dark	0.0	[0.0, 0.0, 0.0, 0.0]
00275035-r	asleep	0.0	[0]
00278551-a	bright	49.0	[64.0, 34.0]
00279835-n	move	0.0	[0]
00279835-n	movement	0.0	[0]
00280301-v	whiten	-34.0	[-34.0]
00280853-n	approach	0.0	[0]
00281101-v	colour	-34.0	[-34.0]
00281101-v	discolour	-34.0	[-34.0]
00281173-a	brilliant	64.0	[64.0]
00285557-n	step	0.0	[0, 0]
00292507-v	cut off	-34.0	[-34.0]
00294459-r	therefore	0.0	[0]
00299690-a	hoarse	-54.333333333333336	[-34.0, -95.0, -34.0]
00300247-r	perhaps	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00300247-r	possibly	34.0	[34.0]
00300496-r	possibly	25.5	[34.0, 34.0, 0, 34.0]
00304144-a	wild	-64.0	[-64.0]
00306426-n	journey	0.0	[0, 0]
00306539-v	burst forth	0.0	[0]
00307631-n	drive	0.0	[0, 0]
00308370-n	trip	0.0	[0]
00309021-a	careful	34.0	[34.0]
00311809-n	excursion	0.0	[0]
00312691-n	way	0.0	[0]
00317468-v	broaden	0.0	[0]
00317888-v	prolong	34.0	[34.0]
00324878-a	responsible	34.0	[34.0, 34.0]
00324878-a	responsible for	0.0	[0, 0]
00329831-a	central	0.0	[0, 0, 0, 0]
00330506-a	middle	0.0	[0]
00331950-n	motion	0.0	[0]
00335421-a	certain	0.0	[0]
00336831-a	sure	4.25	[0, 0, 0, 0, 34.0, 0, 0, 0]
00339934-v	occur	0.0	[0, 0, 0, 0, 0]
00339934-v	take place	0.0	[0, 0]
00339934-v	go on	0.0	[0]
00339934-v	happen	0.0	[0, 0]
00341757-v	drag	-34.0	[-34.0]
00341757-v	drag out	0.0	[0]
00343226-a	fatal	-95.0	[-95.0]
00344643-v	happen	0.0	[0, 0, 0]
00344643-v	befall	-34.0	[-34.0]
00345454-n	turn	0.0	[0]
00345761-v	begin	0.0	[0, 0, 0]
00345761-v	start	0.0	[0]
00347652-n	shake	-17.0	[-34.0, 0]
00348110-r	fain	34.0	[34.0]
00349369-n	stroke	0.0	[0]
00351406-v	follow	17.0	[34.0, 0]
00351576-v	pass away	34.0	[34.0]
00354845-v	die	0.0	[0]
00355615-r	heavily	-64.0	[-64.0]
00358431-v	die	-79.66666666666667	[-64.0, -95.0, -95.0, -95.0, -95.0, -95.0, -64.0, -34.0, -34.0, -95.0, -95.0, -95.0]
00362128-v	curl	0.0	[0]
00362467-a	cheerful	95.0	[95.0]
00364881-a	dark	-64.0	[-64.0, -64.0]
00365261-a	sombre	-34.0	[-34.0]
00368663-r	exactly	34.0	[34.0]
00370869-a	blue	0.0	[0, 0]
00372111-a	brown	0.0	[0, 0]
00372111-a	brownish	0.0	[0]
00372665-v	heat	-34.0	[-34.0]
00372914-r	indiscreetly	34.0	[34.0]
00375969-a	green	0.0	[0, 0, 0]
00379440-v	char	-34.0	[-34.0]
00381097-a	red	0.0	[0, 0]
00385756-a	yellow	11.333333333333334	[0, 34.0, 0]
00389310-a	grey	0.0	[0.0, 0.0, 0]
00392812-a	black	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0]
00393105-a	white	0.0	[0, 0, 0]
00393149-r	low	0.0	[0]
00402555-r	minutely	0.0	[0]
00404568-a	white	-22.666666666666668	[0, -34.0, -34.0]
00405868-r	in return	0.0	[0]
00405879-a	pale	-64.0	[-64.0]
00409440-a	dark	0.0	[0.0]
00410210-r	every night	0.0	[0, 0, 0]
00413239-n	custom	0.0	[0, 0]
00414179-n	habit	0.0	[0, 0]
00414354-a	modern	0.0	[0]
00417787-r	past	0.0	[0, 0]
00422090-v	appear	8.5	[0, 0, 34.0, 0]
00423430-v	come to light	34.0	[34.0]
00423702-v	come out	0.0	[0]
00424869-v	flash	-34.0	[-34.0]
00428404-a	clear	34.0	[34.0]
00429016-a	distinct	0.0	[0]
00431004-a	vague	-34.0	[-34.0]
00431117-v	thicken	-34.0	[-34.0]
00434374-v	give way	-34.0	[-34.0]
00435190-a	clear	34.0	[34.0, 34.0, 34.0, 34.0, 34.0]
00442361-a	far	11.333333333333334	[0, 34.0, 0]
00444519-a	near	0.0	[0, 0, 0]
00445548-a	distant	-34.0	[-34.0]
00447472-a	next	0.0	[0, 0, 0]
00448314-a	impending	-34.0	[-34.0]
00450234-r	imperturbably	34.0	[34.0]
00452883-a	dear	34.0	[34.0]
00452883-a	good	64.0	[64.0]
00453308-a	intimate	34.0	[34.0, 34.0, 34.0]
00453726-a	clad	0.0	[0, 0, 0]
00454440-a	dressed	0.0	[0, 0]
00459498-v	hurry	-22.666666666666668	[-34.0, -34.0, 0]
00461283-r	soothingly	34.0	[34.0]
00462520-r	noiselessly	34.0	[34.0]
00477661-a	homely	34.0	[34.0]
00482673-a	relative	0.0	[0]
00484166-v	complete	27.0	[27.0]
00485711-a	common	0.0	[0]
00488770-v	ventilate	0.0	[0]
00489863-a	regular	0.0	[0]
00491089-a	peculiar	-34.0	[-34.0, -34.0]
00495309-r	whence	0.0	[0]
00502847-r	gently	64.0	[64.0]
00505114-r	only	0.0	[0]
00505114-r	only when	0.0	[0]
00507927-r	together	0.0	[0, 0]
00508032-v	mark	0.0	[0]
00510749-r	very	0.0	[0, 0]
00512877-v	enable	34.0	[34.0]
00514884-a	whole	0.0	[0, 0, 0, 0, 0, 0]
00515380-a	total	0.0	[0]
00520019-v	disturb	-34.0	[-34.0, -34.0]
00521584-a	all	0.0	[0, 0]
00522282-v	take effect	0.0	[0]
00522537-n	exposure	0.0	[0]
00524496-a	half	0.0	[0, 0]
00524607-a	neither	0.0	[0, 0]
00525453-a	all-comprehensive	34.0	[34.0]
00526541-a	round	0.0	[0]
00530017-v	escape	-34.0	[-34.0]
00542120-v	come	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00549552-v	save	0.0	[0]
00549771-v	turn to	0.0	[0, 0, 0, 0]
00550117-v	change	0.0	[0]
00555084-v	swell	-64.0	[-64.0]
00555325-n	fit	-34.0	[-34.0]
00559556-v	shake	-34.0	[-34.0]
00564695-v	fold	0.0	[0]
00567896-n	get	0.0	[0]
00571643-a	unconscious	-34.0	[-34.0]
00575741-n	work	0.0	[0, 0, 0, 0]
00577525-n	service	0.0	[0]
00582388-n	business	11.333333333333334	[34.0, 0, 0]
00588888-v	understand	34.0	[34.0, 34.0]
00590271-a	restless	-34.0	[-34.0]
00591115-v	see	0.0	[0, 0, 0, 0, 0]
00591755-v	come home	0.0	[0]
00593522-v	understand	34.0	[34.0]
00594337-v	know	4.25	[0, 34.0, 0, 0, 0, 0, 0, 0]
00594621-v	know	10.736842105263158	[0, 34.0, 0, 34.0, 0, 34.0, 0, 0, 34.0, 34.0, 34.0, 34.0, 0, 0, 0, 0, 0, 0, -34.0]
00595630-v	know	8.545454545454545	[0, 0, 0, 0, 0, 0, 34.0, 26.0, 34.0, 0, 0]
00598954-v	see	0.0	[0, 0, 0]
00598954-v	hear	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00598954-v	learn	34.0	[34.0]
00599992-v	take	0.0	[0]
00600540-a	uncontrollable	-34.0	[-34.0]
00607780-v	recall	0.0	[0, 0]
00607780-v	recollect	0.0	[0]
00607780-v	remember	22.666666666666668	[34.0, 34.0, 0, 34.0, 0, 34.0]
00607780-v	think	0.0	[0]
00608372-v	know	34.0	[34.0]
00609100-v	forget	-17.0	[-34.0, 0]
00609683-v	think of	0.0	[0]
00609953-n	profession	0.0	[0]
00610167-v	forget	-34.0	[-34.0, -34.0, -34.0, -34.0]
00616670-v	attend to	0.0	[0]
00621734-v	confound	-34.0	[-34.0]
00622584-n	hunt	-34.0	[-34.0]
00623862-n	trouble	-34.0	[-34.0]
00623862-n	difficulty	-64.0	[-64.0, -64.0]
