!03511426-n	heelless	0.0	[0]
00007488-r	absolutely	7.779999999999999	[0, 0, 0, 0, 0.0, 0.0, 0.0, 37.05, 56.55, 23.1, 0, 0.0, 0.0, 0, 0.0]
00007703-r	partly	0.0	[0, 0, 0, 0, 0, 0, 0]
00007739-v	blink	0.0	[0, 0, 0, 0]
00007846-n	person	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00007846-n	someone	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00008007-r	entirely	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0]
00008007-r	all	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00008600-r	entirely	0.0	[0, 0]
00008997-r	perfectly	39.30769230769231	[34.0, 64.0, 64.0, 95.0, 0, 0, 0, 64.0, 0, 95.0, 0, 0, 95.0]
00008997-r	absolutely	0.0	[0, 0.0, 0.0, 0.0]
00009966-r	pray	17.72222222222222	[0, 0, 0, 0, 0, 0, 0, 34.0, 34.0, 34.0, 34.0, 34.0, 34.0, 34.0, 47.0, 0, 34.0, 0]
00009966-r	kindly	34.0	[34.0, 34.0, 34.0, 34.0, 34.0, 34.0, 34.0]
00010435-v	do	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00010466-r	fully	0.0	[0]
00011011-r	only	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00012267-v	make	0.0	[0, 0]
00012531-r	well	3.3333333333333335	[0, 0, 0, 0, 0, 20.0]
00013662-a	tangible	41.5	[34.0, 49.0]
00014201-v	shiver	-22.666666666666668	[-34.0, -34.0, 0]
00014201-v	draw up	0.0	[0]
00014742-v	sleep	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00015388-n	animal	0.0	[0, 0, 0, 0, 0.0, 0, 0.0, 0, 0, 0]
00015388-n	creature	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0]
00017445-r	even	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0.0, 0, 0, 0, 0, 0]
00017639-r	even	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00017639-r	still	0.0	[0, 0, 0, 0, 0]
00017865-v	go to bed	0.0	[0, 0, 0, 0.0, 0, 0]
00017865-v	retire	5.0	[15.0, 0, 0]
00017881-r	even as	0.0	[0, 0, 0, 0, 0, 0, 0]
00018526-v	wake	0.0	[0, 0]
00018577-r	quite	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0]
00018781-r	quite	1.3513513513513513	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0.0, 0, 0, 0, 0, 50.0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0]
00018813-v	awaken	0.0	[0.0, 0.0, 0]
00018918-r	quite	0.0	[0, 0, 0, 0]
00019339-r	always	0.8372093023255814	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36.0, 0, 0, 0, 0]
00019339-r	ever	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00020410-a	unapproachable	-34.0	[-34.0]
00020476-r	always	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0]
00020759-r	never	-2.7830188679245285	[0, 0, 0, -34.0, 0, -34.0, -34.0, -34.0, 0, 0, -64.0, 0, 0, 0, -34.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 0.0, 0, 0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0.0, 0, 0, 0.0, -61.0, 0, 0.0, 0.0, 34.0, -34.0, 0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0]
00021212-r	occasionally	0.0	[0, 0, 0, 0, 0]
00021878-r	sometimes	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00022131-r	as	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00022903-n	article	0.0	[0, 0, 0]
00023271-n	knowledge	5.666666666666667	[34.0, 34.0, 34.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0]
00023773-n	motive	0.0	[0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0]
00024073-r	not	-1.3868715083798884	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -34.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0.0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, -63.0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, -26.0, -33.0, -31.0, -30.0, -32.0, -32.0, -31.0, -30.0, -28.0, 0, 0, -51.0, -33.0, -30.0, 0, -29.0, 0, -34.0, 0.0, 0, 0, -39.0, 0, 0, -32.0, 0, -32.0, 0, 0, -29.0, -30.0, 0.0, 0, 0.0, 0, 0, -58.0, -89.0, 0, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, -25.0, 0, 0, 0, 0, 0, 0, 0, -25.0, 0, 0, -28.0, -29.0, 0, 0, 0, 0, 0, 0, 0, 0, -30.0, 0]
00024073-r	n't	-1.5350877192982457	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0.0, 0, 0, -33.0, -27.0, -30.0, 0, -29.0, 0, 0, -30.0, 0, 0, 0, -26.0, 0]
00024257-r	nothing	-14.9375	[-34.0, -34.0, -34.0, -34.0, -34.0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, -69.0, 0]
00024356-r	no	-13.172413793103448	[0, 0, 0, 0, -34.0, 0, -34.0, -19.0, -34.0, -34.0, -34.0, -34.0, 0, 0, 0, -34.0, 0, 0, 0, 0, 0, 0, -34.0, -34.0, 0, 0, -34.0, 0, -23.0]
00024682-r	none	0.0	[0, 0]
00024893-r	either	0.0	[0, 0, 0, 0.0]
00024996-a	new	0.0	[0, 0, 0, 0, 0, 0]
00026192-n	feeling	0.0	[0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0, 0]
00026571-r	at any rate	0.0	[0, 0]
00027093-r	as it is	0.0	[0, 0, 0, 0, 0]
00027384-r	but	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00027384-r	yet	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0]
00027384-r	however	-0.7727272727272727	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, -34.0]
00027795-r	yet	-1.9333333333333333	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -29.0]
00027918-r	as yet	0.0	[0]
00028424-r	however	0.0	[0, 0, 0.0]
00028565-v	smile	47.8	[64.0, 64.0, 64.0, 64.0, 34.0, 0, 34.0, 34.0, 60.0, 60.0]
00028578-r	however	0.0	[0, 0, 0, 0, 0, 0, 0]
00028797-r	however	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0, 0]
00029037-r	besides	0.0	[0, 0, 0, 0, 0]
00029378-n	event	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0, 0]
00031304-r	still	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0]
00031515-r	no longer	-6.6	[0, 0, 0, 0, -33.0]
00031663-v	chuckle	17.0	[34.0, 34.0, 0, 0]
00031798-r	already	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00031820-v	laugh	29.1	[64.0, 0, 0, 0, 34.0, 34.0, 34.0, 34.0, 34.0, 34.0, 34.0, 34.0, 34.0, 0, 34.0, 34.0, 34.0, 34.0, 34.0, 42.0]
00031899-r	very	0.3822525597269625	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0.0, 0.0, 0, 0.0, 0, 0, -13.0, 0, 0, 0, 0, 0, 0, 0, 0, 23.0, 0, 39.0, 42.0, 21.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00031899-r	really	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0]
00033308-r	just	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00033406-v	stare	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00033421-r	instantly	0.0	[0]
00033663-r	a little	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00033922-r	soon	2.125	[0, 0, 34.0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0, 0.0, 0]
00034189-r	shortly	0.0	[0, 0, 0, 0, 0]
00035385-r	seldom	-2.8333333333333335	[-34.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0]
00035718-r	somewhat	0.0	[0, 0, 0]
00037396-n	action	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0]
00037470-r	indeed	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0]
00037641-r	indeed	1.2	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0.0, 0, 0, 60.0]
00037641-r	so	0.0	[0, 0]
00038013-r	in truth	5.666666666666667	[34.0, 0, 0.0, 0.0, 0.0, 0.0]
00038262-n	course	0.0	[0, 0, 0, 0]
00038262-n	course of action	0.0	[0, 0]
00038625-r	of course	2.8292682926829267	[0, 34.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0.0, 0, 0, 0, 0, 0, 0, 48.0, 0, 0, 0, 0, 0, 0, 0, 34.0, 0, 0, 0]
00039058-r	clearly	5.625	[0.0, 0, 0, 0, 0, 0, 0, 45.0]
00039318-r	evidently	0.0	[0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0.0]
00039318-r	obviously	0.0	[0.0, 0, 0, 0, 0, 0]
00040365-r	again	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00040365-r	once more	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0, 0]
00040882-r	out of the way	0.0	[0, 0]
00041570-r	in the way	-13.333333333333334	[0, 0, -46.0, 0, 0, -34.0]
00042769-r	alas	-17.0	[-34.0, 0]
00043003-r	therefore	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00043003-r	so	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00043195-n	find	0.0	[0, 0, 0, 0, 0, 0, 0]
00043195-n	discovery	8.5	[34.0, 0, 0.0, 0.0]
00046534-v	dress	0.0	[0, 0, 0]
00046639-r	deadly	-79.5	[-95.0, -64.0]
00047392-r	too	-0.4411764705882353	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -15.0, 0, 0, 0]
00047534-r	too	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00047534-r	also	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00047534-r	as well	2.6153846153846154	[0, 0, 0, 0, 0, 34.0, 0, 0, 0, 0, 0, 0, 0]
00047903-r	at last	1.6951219512195121	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0, 0, 10.0, 0, 59.5, 0]
00047903-r	finally	-2.8333333333333335	[-34.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00048138-r	eventually	0.0	[0, 0, 0, 0, 0]
00048138-r	finally	-17.0	[-34.0, 0]
00048739-r	now	0.0	[0, 0, 0, 0, 0]
00048739-r	at once	3.2560975609756095	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.0, 20.0, 20.0, 13.5, 20.0, 0.0, 0.0, 20.0, 0, 0.0, 20.0]
00048739-r	immediately	2.5	[0, 0, 0, 0.0, 0.0, 0.0, 0.0, 20.0]
00048739-r	instantly	0.0	[0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0]
00048828-n	coming	0.0	[0, 0.0]
00049102-r	now	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00049220-r	now	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00049220-r	come	0.0	[0]
00049220-r	at present	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00049758-r	now	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00050681-r	no	0.0	[0, 0, 0, 0]
